"Código";"Descripción";Fecha de baja
"01";"Crotal";05/09/2011
"02";"Bolo ruminal";
"03";"Inyectable electrónico";
"04";"Crotal electrónico";
"05";"Fotografías";
"06";"Reseña";
"07";"Palatograma";
"08";"Identificación biométrica por la retina";
"09";"Tatuaje";
"10";"Fuego";
"11";"Nitrógeno líquido";
"12";"Marcadores genéticos";
"13";"Pulsera electrónica";
"14";"DIE";
"15";"Pasaporte";28/06/2012
"16";"Crotal visual";
