"Código CPE";"Categoría del CPE";"CEE";"Unidades de medida"
"SOC_CLVS008";"Vacas";"CLVS008";"€/cabeza"
"SOC_CLVS009";"Vacas lecheras";"CLVS009";"€/cabeza"
"SOC_CLVS010";"Vacas no lecheras";"CLVS010";"€/cabeza"
"SOC_CLVS011";"Búfalas";"CLVS011";"€/cabeza"
"SOC_CLVS012";"Ovinos (todas las edades)";"CLVS012";"€/cabeza"
"SOC_CLVS013";"Ovejas reproductoras";"CLVS013";"€/cabeza"
"SOC_CLVS014";"Otros ovinos";"CLVS014";"€/cabeza"
"SOC_CLVS015";"Caprinos (todas las edades)";"CLVS015";"€/cabeza"
"SOC_CLVS016";"Cabras reproductoras";"CLVS016";"€/cabeza"
"SOC_CLVS017";"Otros caprinos";"CLVS017";"€/cabeza"
"SOC_CLVS018";"Lechones con un peso vivo de menos de 20 kg";"CLVS018";"€/cabeza"
"SOC_CLVS019";"Cerdas reproductoras con un peso vivo de 50 kg o más";"CLVS019";"€/cabeza"
"SOC_CLVS020";"Otros porcinos";"CLVS020";"€/cabeza"
"SOC_CLVS021";"Pollos de engorde";"CLVS021";"€/cabeza"
"SOC_CLVS022";"Gallinas ponedoras";"CLVS022";"€/cabeza"
"SOC_CLVS023";"Otras aves de corral";"CLVS023";"€/cabeza"
"SOC_CLVS029";"Conejas reproductoras";"CLVS029";"€/cabeza"
"SOC_CLVS030";"Abejas";"CLVS030";"€/colmena"
