"Código";"Descripción";Fecha de baja
"00";"Ecológico";
"01";"Integrado ";
"02";"Convencional";
"04";"Ecológico y Colaborador del Libro de Registro";30/03/2022
"05";"Integrado y Colaborador del Libro de Registro";30/03/2022
"06";"Convencional y Colaborador del Libro de Registro";30/03/2022
