"Código CPE";"Categoría del CPE";"Comunidad Autónoma";"CPE";"Unidades de medida"
"SOC_CLND013";"Arroz";"Comunidad Autónoma de La Rioja";"2535.36";"€/ha"
"SOC_CLND014";"Leguminosas y proteaginosas secas para la producción de grano (incluidas las semillas y las mezclas de cereales con leguminosas)";"Comunidad Autónoma de Andalucía";"505.69";"€/ha"
"SOC_CLND014";"Leguminosas y proteaginosas secas para la producción de grano (incluidas las semillas y las mezclas de cereales con leguminosas)";"Comunidad Autónoma de Aragón";"385.75";"€/ha"
"SOC_CLND014";"Leguminosas y proteaginosas secas para la producción de grano (incluidas las semillas y las mezclas de cereales con leguminosas)";"Principado de Asturias";"6399.58";"€/ha"
"SOC_CLND014";"Leguminosas y proteaginosas secas para la producción de grano (incluidas las semillas y las mezclas de cereales con leguminosas)";"Comunidad Autónoma de Illes Balears";"216.01";"€/ha"
"SOC_CLND014";"Leguminosas y proteaginosas secas para la producción de grano (incluidas las semillas y las mezclas de cereales con leguminosas)";"Comunidad Autónoma de Canarias";"904.04";"€/ha"
"SOC_CLND014";"Leguminosas y proteaginosas secas para la producción de grano (incluidas las semillas y las mezclas de cereales con leguminosas)";"Comunidad Autónoma de Cantabria";"2629.45";"€/ha"
"SOC_CLND014";"Leguminosas y proteaginosas secas para la producción de grano (incluidas las semillas y las mezclas de cereales con leguminosas)";"Comunidad Autónoma de Castilla y León";"455.68";"€/ha"
"SOC_CLND014";"Leguminosas y proteaginosas secas para la producción de grano (incluidas las semillas y las mezclas de cereales con leguminosas)";"Comunidad Autónoma de Castilla-La Mancha";"343.61";"€/ha"
"SOC_CLND014";"Leguminosas y proteaginosas secas para la producción de grano (incluidas las semillas y las mezclas de cereales con leguminosas)";"Comunidad Autónoma de Cataluña";"784.68";"€/ha"
"SOC_CLND014";"Leguminosas y proteaginosas secas para la producción de grano (incluidas las semillas y las mezclas de cereales con leguminosas)";"Comunidad Valenciana";"325.98";"€/ha"
"SOC_CLND014";"Leguminosas y proteaginosas secas para la producción de grano (incluidas las semillas y las mezclas de cereales con leguminosas)";"Comunidad Autónoma de Extremadura";"401.96";"€/ha"
"SOC_CLND014";"Leguminosas y proteaginosas secas para la producción de grano (incluidas las semillas y las mezclas de cereales con leguminosas)";"Comunidad Autónoma de Galicia";"5582.47";"€/ha"
"SOC_CLND014";"Leguminosas y proteaginosas secas para la producción de grano (incluidas las semillas y las mezclas de cereales con leguminosas)";"Comunidad de Madrid";"343.84";"€/ha"
"SOC_CLND014";"Leguminosas y proteaginosas secas para la producción de grano (incluidas las semillas y las mezclas de cereales con leguminosas)";"Región de Murcia";"534.84";"€/ha"
"SOC_CLND014";"Leguminosas y proteaginosas secas para la producción de grano (incluidas las semillas y las mezclas de cereales con leguminosas)";"Comunidad Foral de Navarra";"642.46";"€/ha"
"SOC_CLND014";"Leguminosas y proteaginosas secas para la producción de grano (incluidas las semillas y las mezclas de cereales con leguminosas)";"Comunidad Autónoma del País Vasco";"1767.23";"€/ha"
