"Código";"Descripción"
"RNC";"Municipios Rurales No Críticos"
"RRD";"Municipios Rurales con Riesgo de Despoblamiento "
"RRGD";"Municipios Rurales con Riesgo Grave de Despoblamiento"
"URBANO";"Municipios Urbanos"
