"Código SIEX";"Tipo de ayuda de viñedo";Fecha de alta;Fecha de modificación;Fecha de baja
"1";"Reestructuración y reconversión de viñedos";17/04/2023;;
"2";"Cosecha en verde";17/04/2023;;
