"Código cultivo SIEX";"Cultivo SIEX";"Asociación de cultivos";"Código CPE";"Categoría del CPE"
"390";"HABONCILLO";"NO";"SOC_CLND014";"Leguminosas y proteaginosas secas para la producción de grano (incluidas las semillas y las mezclas de cereales con leguminosas)"
"392";"MEZCLA ALUBIA-MAÍZ";"NO";"SOC_CLND014";"Leguminosas y proteaginosas secas para la producción de grano (incluidas las semillas y las mezclas de cereales con leguminosas)"
"393";"ESCANDA";"NO";"SOC_CLND004";"Trigo blando y escanda"
"394";"ESCAÑA";"NO";"SOC_CLND004";"Trigo blando y escanda"
"395";"PANIZO";"NO";"SOC_CLND010_011_012";"Triticale, sorgo y otros cereales n.c.o.p. (alforfón, mijo, alpiste, etc.)"
"397";"JUDÍA ESCARLATA";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"398";"RAMIO";"NO";"SOC_CLND031";"Otros cultivos fibrosos n.c.o.p."
"399";"SÉSAMO";"NO";"SOC_CLND026";"Otros cultivos de semillas oleaginosas n.c.o.p."
"401";"CEBOLLINO";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"402";"ACEDERILLA";"NO";"SOC_CLND034";"Plantas aromáticas, medicinales y culinarias"
"403";"ANÍS ESTRELLADO";"NO";"SOC_CLND034";"Plantas aromáticas, medicinales y culinarias"
"404";"BOTÓN DE ORO";"NO";"SOC_CLND034";"Plantas aromáticas, medicinales y culinarias"
"405";"AJOWAN";"NO";"SOC_CLND034";"Plantas aromáticas, medicinales y culinarias"
"406";"CHUPAMIELES";"NO";"SOC_CLND034";"Plantas aromáticas, medicinales y culinarias"
"409";"DEDALERA O DIGITAL";"NO";"SOC_CLND034";"Plantas aromáticas, medicinales y culinarias"
"410";"CICUTA";"NO";"SOC_CLND034";"Plantas aromáticas, medicinales y culinarias"
"411";"JABONERA";"NO";"SOC_CLND034";"Plantas aromáticas, medicinales y culinarias"
"412";"MALVA COMÚN";"NO";"SOC_CLND034";"Plantas aromáticas, medicinales y culinarias"
"413";"PULMONARIA";"NO";"SOC_CLND034";"Plantas aromáticas, medicinales y culinarias"
"414";"CARDO DE FULLER";"NO";"SOC_CLND034";"Plantas aromáticas, medicinales y culinarias"
"415";"TÁRTAGO";"NO";"SOC_CLND034";"Plantas aromáticas, medicinales y culinarias"
"416";"PATACA";"NO";"SOC_CLND034";"Plantas aromáticas, medicinales y culinarias"
"417";"CANÓNIGO";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"418";"ACEDERA";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"419";"BERRO HORTELANO";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"420";"RUIBARBO";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"421";"VERDOLAGA";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"422";"KIWANO";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"423";"TOMATILLO";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"424";"ALCACHOFA CHINA";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"425";"GALANGA MENOR";"NO";"SOC_CLND034";"Plantas aromáticas, medicinales y culinarias"
"426";"PEREJIL TUBEROSO";"NO";"SOC_CLND034";"Plantas aromáticas, medicinales y culinarias"
"427";"RÁBANO PICANTE";"NO";"SOC_CLND034";"Plantas aromáticas, medicinales y culinarias"
"428";"PHASEOLUS LUNATUS";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"429";"COLLEJA";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"430";"BERGAMOTO";"NO";"SOC_CLND061";"Cítricos"
"431";"CIDRO";"NO";"SOC_CLND061";"Cítricos"
"432";"LIMÓN MANDARINA";"NO";"SOC_CLND061";"Cítricos"
"433";"LIMERO DULCE";"NO";"SOC_CLND061";"Cítricos"
"434";"LIMÓN DULCE DEL MEDITERRÁNEO";"NO";"SOC_CLND061";"Cítricos"
"435";"NARANJO MORUNO";"NO";"SOC_CLND061";"Cítricos"
"436";"ACEROLO";"NO";"SOC_CLND056";"Frutas de pepita"
"437";"GUINDO";"NO";"SOC_CLND057";"Frutas de hueso"
"438";"SAÚCO";"NO";"SOC_CLND059";"Bayas (excepto fresas)"
"439";"ESPINO AMARILLO";"NO";"SOC_CLND059";"Bayas (excepto fresas)"
"440";"PITA";"NO";"SOC_CLND035_036";"Cultivos energéticos y otros cultivos industriales n.c.o.p."
"441";"TÉ";"NO";"SOC_CLND034";"Plantas aromáticas, medicinales y culinarias"
"442";"MIMBRERA";"NO";"SOC_CLND031";"Otros cultivos fibrosos n.c.o.p."
"443";"BAMBÚ";"NO";"SOC_CLND031";"Otros cultivos fibrosos n.c.o.p."
"444";"ZUMAQUE";"NO";"SOC_CLND034";"Plantas aromáticas, medicinales y culinarias"
"445";"COL CRESPA";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"446";"SERRADELLA";"NO";"SOC_CLND039";"Leguminosas cosechadas en verde"
"447";"MEZCLA CEREAL-RAYGRASS";"NO";"SOC_CLND041_042";"Otros cultivos y cereales (excepto maíz) cosechados en verde n.c.o.p."
"448";"MEZCLA AVENA-MAÍZ";"NO";"SOC_CLND041_042";"Otros cultivos y cereales (excepto maíz) cosechados en verde n.c.o.p."
"449";"MEZCLA HABA-VEZA";"NO";"SOC_CLND039";"Leguminosas cosechadas en verde"
"450";"MEZCLA CEBADA-TRIGO";"NO";"SOC_CLND006";"Centeno y mezclas de cereales de invierno (tranquillón)"
"451";"MEZCLA CENTENO-TRIGO";"NO";"SOC_CLND006";"Centeno y mezclas de cereales de invierno (tranquillón)"
"452";"MEZCLA AVENA-MAÍZ-VEZA";"NO";"SOC_CLND041_042";"Otros cultivos y cereales (excepto maíz) cosechados en verde n.c.o.p."
"453";"MEZCLA CEBADA-MAÍZ-VEZA";"NO";"SOC_CLND041_042";"Otros cultivos y cereales (excepto maíz) cosechados en verde n.c.o.p."
"454";"MEZCLA ALTRAMUZ-AVENA";"NO";"SOC_CLND041_042";"Otros cultivos y cereales (excepto maíz) cosechados en verde n.c.o.p."
"455";"MEZCLA AVENA-CENTENO";"NO";"SOC_CLND041_042";"Otros cultivos y cereales (excepto maíz) cosechados en verde n.c.o.p."
"456";"MEZCLA CENTENO-MAÍZ";"NO";"SOC_CLND041_042";"Otros cultivos y cereales (excepto maíz) cosechados en verde n.c.o.p."
"457";"MEZCLA MAÍZ-SORGO";"NO";"SOC_CLND041_042";"Otros cultivos y cereales (excepto maíz) cosechados en verde n.c.o.p."
"458";"MARALFALFA";"NO";"SOC_CLND039";"Leguminosas cosechadas en verde"
"459";"TEDERA";"NO";"SOC_CLND039";"Leguminosas cosechadas en verde"
"460";"CAUPÍ";"NO";"SOC_CLND014";"Leguminosas y proteaginosas secas para la producción de grano (incluidas las semillas y las mezclas de cereales con leguminosas)"
"461";"MELILOTO AMARILLO";"NO";"SOC_CLND014";"Leguminosas y proteaginosas secas para la producción de grano (incluidas las semillas y las mezclas de cereales con leguminosas)"
"462";"OJO DE BUEY";"NO";"SOC_CLND034";"Plantas aromáticas, medicinales y culinarias"
"463";"CHOISUM";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"464";"BRÓCOLI CHINO";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"465";"BATATA ACUÁTICA";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"466";"CEBOLLINO CHINO";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"467";"LEMONGRASS";"NO";"SOC_CLND034";"Plantas aromáticas, medicinales y culinarias"
"468";"ESPINACA DE MALABAR";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"469";"LUFFA";"NO";"SOC_CLND031";"Otros cultivos fibrosos n.c.o.p."
"470";"JUDÍA DE EGIPTO";"NO";"SOC_CLND014";"Leguminosas y proteaginosas secas para la producción de grano (incluidas las semillas y las mezclas de cereales con leguminosas)"
"471";"CALABAZA AMARGA";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"472";"PEPINO CULEBRA";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"473";"CALABAZA CHINA";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"474";"AROS EGIPCIOS";"NO";"SOC_CLND034";"Plantas aromáticas, medicinales y culinarias"
"475";"RÁBANO SILVESTRE";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"477";"SALSIFÍ";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"478";"COLINABO";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"479";"ESCORZONERA";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"480";"BARBAREA";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"481";"NUEZ DE COLA";"NO";"SOC_CLND058";"Frutas de zonas de clima subtropical y tropical"
"482";"ALTRAMUZ AZUL";"NO";"SOC_CLND014";"Leguminosas y proteaginosas secas para la producción de grano (incluidas las semillas y las mezclas de cereales con leguminosas)"
"483";"VEZA VELLOSA";"NO";"SOC_CLND039";"Leguminosas cosechadas en verde"
"484";"GRELOS";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"485";"BAYAS DE GOJI";"NO";"SOC_CLND059";"Bayas (excepto fresas)"
"486";"ALVERJA HÚNGARA";"NO";"SOC_CLND014";"Leguminosas y proteaginosas secas para la producción de grano (incluidas las semillas y las mezclas de cereales con leguminosas)"
"487";"CALIFORNIA BLUEBELL";"NO";"SOC_CLND041_042";"Otros cultivos y cereales (excepto maíz) cosechados en verde n.c.o.p."
"488";"BISERRULA";"NO";"SOC_CLND039";"Leguminosas cosechadas en verde"
"489";"GRAMA COMÚN";"NO";"SOC_CLND038";"Pastos y prados temporales"
"490";"MEDICAGO";"NO";"SOC_CLND039";"Leguminosas cosechadas en verde"
"491";"ESPIGUILLA DE BURRO";"NO";"SOC_CLND038";"Pastos y prados temporales"
"492";"AÑIL";"NO";"SOC_CLND034";"Plantas aromáticas, medicinales y culinarias"
"493";"ÍNDIGO CHINO";"NO";"SOC_CLND034";"Plantas aromáticas, medicinales y culinarias"
"494";"VIÑA - HUERTA";"SI";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"494";"VIÑA - HUERTA";"SI";"SOC_CLND062";"Uvas"
"495";"FRUTAL - HUERTA";"SI";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"495";"FRUTAL - HUERTA";"SI";"SOC_CLND056";"Frutas de pepita"
"496";"MEZCLA RAYGRASS-TRÉBOL";"NO";"SOC_CLND041_042";"Otros cultivos y cereales (excepto maíz) cosechados en verde n.c.o.p."
"497";"APIO-RÁBANO";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"498";"BROCCOLINI";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"501";"NOGAL PECANO";"NO";"SOC_CLND060";"Frutos de cáscara"
"502";"CALABAZA MOSCADA";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"503";"NABO SILVESTRE";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"504";"ALCARAVEA";"NO";"SOC_CLND034";"Plantas aromáticas, medicinales y culinarias"
"505";"PORTAINJERTOS DE CALABAZA";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"506";"CIRUELO JAPONÉS";"NO";"SOC_CLND057";"Frutas de hueso"
"507";"ACHICORIA DE CAFÉ";"NO";"SOC_CLND035_036";"Cultivos energéticos y otros cultivos industriales n.c.o.p."
"508";"RÁBANO OLEÍFERO";"NO";"SOC_CLND026";"Otros cultivos de semillas oleaginosas n.c.o.p."
"509";"COL TRONCHUDA";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"510";"TRISETUM FLAVESCENS";"NO";"SOC_CLND038";"Pastos y prados temporales"
"511";"AGROSTIS CANINA";"NO";"SOC_CLND038";"Pastos y prados temporales"
"512";"AGROSTIS CAPILLARIS";"NO";"SOC_CLND038";"Pastos y prados temporales"
"513";"AGROSTIS GIGANTEA";"NO";"SOC_CLND038";"Pastos y prados temporales"
"514";"AGROSTIS STOLONIFERA";"NO";"SOC_CLND038";"Pastos y prados temporales"
"515";"COLA DE ZORRA";"NO";"SOC_CLND038";"Pastos y prados temporales"
"516";"BROMO DE SITKA";"NO";"SOC_CLND038";"Pastos y prados temporales"
"517";"FESTUCA ALTA";"NO";"SOC_CLND038";"Pastos y prados temporales"
"518";"FESTUCA OVINA DE HOJA FINA";"NO";"SOC_CLND038";"Pastos y prados temporales"
"519";"FESTUCA OVINA";"NO";"SOC_CLND038";"Pastos y prados temporales"
"520";"FESTUCA PRATENSE";"NO";"SOC_CLND038";"Pastos y prados temporales"
"521";"FESTUCA ROJA";"NO";"SOC_CLND038";"Pastos y prados temporales"
"522";"FESTUCA DURA";"NO";"SOC_CLND038";"Pastos y prados temporales"
"523";"GALEGA DE ORIENTE";"NO";"SOC_CLND038";"Pastos y prados temporales"
"524";"RAYGRASS ITALIANO";"NO";"SOC_CLND038";"Pastos y prados temporales"
"525";"RAYGRASS WESTERNWORLD";"NO";"SOC_CLND038";"Pastos y prados temporales"
"526";"RAYGRASS HÍBRIDO";"NO";"SOC_CLND038";"Pastos y prados temporales"
"527";"CARRETÓN";"NO";"SOC_CLND039";"Leguminosas cosechadas en verde"
"528";"ALFALFA ITALIANA";"NO";"SOC_CLND039";"Leguminosas cosechadas en verde"
"529";"ALFALFA LITORAL";"NO";"SOC_CLND039";"Leguminosas cosechadas en verde"
"530";"LUPULINA";"NO";"SOC_CLND039";"Leguminosas cosechadas en verde"
"531";"ALFALFA ESPINOSA";"NO";"SOC_CLND039";"Leguminosas cosechadas en verde"
"532";"ALFALFA DE BURRO";"NO";"SOC_CLND039";"Leguminosas cosechadas en verde"
"533";"ALFALFA RUGOSA";"NO";"SOC_CLND039";"Leguminosas cosechadas en verde"
"534";"ALFALFA DE ARENA";"NO";"SOC_CLND039";"Leguminosas cosechadas en verde"
"535";"ALFALFA ESCUDETEADA";"NO";"SOC_CLND039";"Leguminosas cosechadas en verde"
"536";"MEDICAGO TRUNCATULA";"NO";"SOC_CLND039";"Leguminosas cosechadas en verde"
"537";"SERRADELLA AMARILLA";"NO";"SOC_CLND039";"Leguminosas cosechadas en verde"
"538";"FACELIA FORRAJERA";"NO";"SOC_CLND038";"Pastos y prados temporales"
"539";"ALPISTE BULBOSO";"NO";"SOC_CLND038";"Pastos y prados temporales"
"540";"FLEO BULBOSO";"NO";"SOC_CLND038";"Pastos y prados temporales"
"541";"LLANTÉN MENOR";"NO";"SOC_CLND038";"Pastos y prados temporales"
"542";"POA ANNUA";"NO";"SOC_CLND038";"Pastos y prados temporales"
"543";"POA DE LOS BOSQUES";"NO";"SOC_CLND038";"Pastos y prados temporales"
"544";"POA DE LOS PANTANOS";"NO";"SOC_CLND038";"Pastos y prados temporales"
"545";"POA DE LOS PRADOS";"NO";"SOC_CLND038";"Pastos y prados temporales"
"546";"POA COMÚN";"NO";"SOC_CLND038";"Pastos y prados temporales"
"547";"TRÉBOL DE ALEJANDRÍA";"NO";"SOC_CLND039";"Leguminosas cosechadas en verde"
"548";"TRÉBOL FRESERO";"NO";"SOC_CLND039";"Leguminosas cosechadas en verde"
"549";"TRÉBOL GLANDULAR";"NO";"SOC_CLND039";"Leguminosas cosechadas en verde"
"550";"TRÉBOL VELLOSO";"NO";"SOC_CLND039";"Leguminosas cosechadas en verde"
"551";"TRÉBOL HÍBRIDO";"NO";"SOC_CLND039";"Leguminosas cosechadas en verde"
"552";"TRÉBOL ENCARNADO";"NO";"SOC_CLND039";"Leguminosas cosechadas en verde"
"553";"TRÉBOL DE FRUTO ANGOSTO";"NO";"SOC_CLND039";"Leguminosas cosechadas en verde"
"554";"TRÉBOL BALANSA";"NO";"SOC_CLND039";"Leguminosas cosechadas en verde"
"555";"TRÉBOL VIOLETA";"NO";"SOC_CLND039";"Leguminosas cosechadas en verde"
"556";"TRÉBOL BLANCO";"NO";"SOC_CLND039";"Leguminosas cosechadas en verde"
"557";"TRÉBOL PERSA";"NO";"SOC_CLND039";"Leguminosas cosechadas en verde"
"558";"TRÉBOL SQUARROSO";"NO";"SOC_CLND039";"Leguminosas cosechadas en verde"
"559";"TRÉBOL SUBTERRANEO";"NO";"SOC_CLND039";"Leguminosas cosechadas en verde"
"560";"TRÉBOL VESICULOSO";"NO";"SOC_CLND039";"Leguminosas cosechadas en verde"
"561";"CAÑUELA";"NO";"SOC_CLND038";"Pastos y prados temporales"
"562";"ARVEJA ROJA";"NO";"SOC_CLND039";"Leguminosas cosechadas en verde"
"563";"BERENJENA ETÍOPE";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"564";"HÍBRIDOS DE SOLANUM LYCOPERSICUM Y CHESMANIAE";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"565";"HÍBRIDOS DE SOLANUM LYCOPERSICUM Y PERUVIANUM";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"566";"HÍBRIDOS DE SOLANUM LYCOPERSICUM Y PIMPINELLIFOLIUM";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"567";"HÍBRIDOS DE SOLANUM LYCOPERSICUM Y HABROCHAITES";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"568";"BERENJENA CIMARRONA";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"569";"HÍBRIDOS DE SOLANUM MELONGENA Y TORVUM";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"570";"HÍBRIDOS DE SOLANUM MELONGENA Y AETHIOPICUM";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"571";"TOMATE DE GALÁPAGOS";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"572";"TOMATE CIMARRÓN";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"573";"TOMATE PELUDO";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"574";"TOMATE SILVESTRE";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"575";"TRÉBOL GLOMERADO";"NO";"SOC_CLND039";"Leguminosas cosechadas en verde"
"576";"CEBADILLA";"NO";"SOC_CLND038";"Pastos y prados temporales"
"577";"FROMENTAL";"NO";"SOC_CLND038";"Pastos y prados temporales"
"578";"AVENA DESNUDA";"NO";"SOC_CLND038";"Pastos y prados temporales"
"579";"AVENA NEGRA";"NO";"SOC_CLND038";"Pastos y prados temporales"
"580";"MOSTAZA NEGRA";"NO";"SOC_CLND034";"Plantas aromáticas, medicinales y culinarias"
"581";"COL DE JERSEY";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"582";"HÍBRIDOS DE CUCUMIS MELO";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"583";"CALABAZA DE CABELLO DE ÁNGEL";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"584";"RABANITO";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"585";"MAÍZ PALOMITERO";"NO";"SOC_CLND009";"Maíz en grano y mezcla de mazorca de maíz"
"586";"GROSELLERO ROJO";"NO";"SOC_CLND059";"Bayas (excepto fresas)"
"587";"BRACHYPODIUM";"NO";"SOC_CLND038";"Pastos y prados temporales"
"588";"PHACELIA";"NO";"SOC_CLND038";"Pastos y prados temporales"
"589";"REMOLACHA FORRAJERA";"NO";"SOC_CLND019";"Otros cultivos de raíces n.c.o.p."
"590";"REMOLACHA AZUCARERA";"NO";"SOC_CLND018";"Remolacha azucarera (excepto semillas)"
"591";"RABO DE GATO";"NO";"SOC_CLND039";"Leguminosas cosechadas en verde"
"592";"TRÉBOL ÁSPERO";"NO";"SOC_CLND039";"Leguminosas cosechadas en verde"
"593";"SETA DE CHOPO";"NO";"SOC_CLND079";"Setas cultivadas"
"594";"SHIITAKE";"NO";"SOC_CLND079";"Setas cultivadas"
"595";"SETA DE PIE AZUL";"NO";"SOC_CLND079";"Setas cultivadas"
"596";"SETA DE CARDO";"NO";"SOC_CLND079";"Setas cultivadas"
"597";"SETA DE OSTRA";"NO";"SOC_CLND079";"Setas cultivadas"
"598";"HONGO PULMÓN";"NO";"SOC_CLND079";"Setas cultivadas"
"599";"ALGODÓN AMERICANO";"NO";"SOC_CLND030";"Algodón"
"601";"ALGODÓN EGIPCIO";"NO";"SOC_CLND030";"Algodón"
"602";"HÍBRIDOS DE GOSSYPIUM HIRSUTUM Y BARBADENSE";"NO";"SOC_CLND030";"Algodón"
"603";"KIWIÑO";"NO";"SOC_CLND058";"Frutas de zonas de clima subtropical y tropical"
"604";"KIWI AMARILLO";"NO";"SOC_CLND058";"Frutas de zonas de clima subtropical y tropical"
"605";"ACTINIDIA";"NO";"SOC_CLND058";"Frutas de zonas de clima subtropical y tropical"
"606";"KIWI ENANO";"NO";"SOC_CLND058";"Frutas de zonas de clima subtropical y tropical"
"607";"ACTINIDIA VALVATA";"NO";"SOC_CLND058";"Frutas de zonas de clima subtropical y tropical"
"608";"HÍBRIDOS DE ACTINIDIA CHINENSIS Y ARGUTA";"NO";"SOC_CLND058";"Frutas de zonas de clima subtropical y tropical"
"609";"CASTANEA";"NO";"SOC_CLND060";"Frutos de cáscara"
"610";"HÍBRIDOS DE CASTANEA CRENATA Y SATIVA";"NO";"SOC_CLND060";"Frutos de cáscara"
"611";"CASTAÑO JAPONES";"NO";"SOC_CLND060";"Frutos de cáscara"
"612";"HÍBRIDOS DE FRAGARIA IINUMAE Y VESCA";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"613";"HÍBRIDOS DE JUGLANS MAYOR Y REGIA";"NO";"SOC_CLND060";"Frutos de cáscara"
"614";"ACELGA BRAVA";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"617";"TRUFA DEL DESIERTO";"NO";"SOC_CLND079";"Setas cultivadas"
"623";"MOSTAZA SILVESTRE";"NO";"SOC_CLND034";"Plantas aromáticas, medicinales y culinarias"
"626";"JUDÍA ESPÁRRAGO";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"652";"BLEDO VERDE";"NO";"SOC_CLND014";"Leguminosas y proteaginosas secas para la producción de grano (incluidas las semillas y las mezclas de cereales con leguminosas)"
"653";"BLEDO COMÚN";"NO";"SOC_CLND014";"Leguminosas y proteaginosas secas para la producción de grano (incluidas las semillas y las mezclas de cereales con leguminosas)"
"654";"MOCO DE PAVO";"NO";"SOC_CLND014";"Leguminosas y proteaginosas secas para la producción de grano (incluidas las semillas y las mezclas de cereales con leguminosas)"
"655";"AMARANTO ROJO";"NO";"SOC_CLND014";"Leguminosas y proteaginosas secas para la producción de grano (incluidas las semillas y las mezclas de cereales con leguminosas)"
"659";"CLAVEL";"NO";"SOC_CLND046";"Flores y plantas ornamentales (excepto viveros) - Producidas al aire libre"
"660";"ROSA";"NO";"SOC_CLND046";"Flores y plantas ornamentales (excepto viveros) - Producidas al aire libre"
"661";"ANTHURIUM";"NO";"SOC_CLND046";"Flores y plantas ornamentales (excepto viveros) - Producidas al aire libre"
"662";"ASTER";"NO";"SOC_CLND046";"Flores y plantas ornamentales (excepto viveros) - Producidas al aire libre"
"663";"CATTLEYA";"NO";"SOC_CLND046";"Flores y plantas ornamentales (excepto viveros) - Producidas al aire libre"
"664";"FREESIA";"NO";"SOC_CLND046";"Flores y plantas ornamentales (excepto viveros) - Producidas al aire libre"
"665";"GERBERA";"NO";"SOC_CLND046";"Flores y plantas ornamentales (excepto viveros) - Producidas al aire libre"
"666";"GYPSOPHILA";"NO";"SOC_CLND046";"Flores y plantas ornamentales (excepto viveros) - Producidas al aire libre"
"667";"IRIS";"NO";"SOC_CLND046";"Flores y plantas ornamentales (excepto viveros) - Producidas al aire libre"
"668";"LIRIO DE PASCUA";"NO";"SOC_CLND046";"Flores y plantas ornamentales (excepto viveros) - Producidas al aire libre"
"669";"PROTEA";"NO";"SOC_CLND046";"Flores y plantas ornamentales (excepto viveros) - Producidas al aire libre"
"670";"SOLIDASTER";"NO";"SOC_CLND046";"Flores y plantas ornamentales (excepto viveros) - Producidas al aire libre"
"671";"SOLIDAGO";"NO";"SOC_CLND046";"Flores y plantas ornamentales (excepto viveros) - Producidas al aire libre"
"672";"SIEMPREVIVA AZUL";"NO";"SOC_CLND046";"Flores y plantas ornamentales (excepto viveros) - Producidas al aire libre"
"673";"AVE DEL PARAÍSO";"NO";"SOC_CLND046";"Flores y plantas ornamentales (excepto viveros) - Producidas al aire libre"
"674";"CLAVEL CHINO";"NO";"SOC_CLND046";"Flores y plantas ornamentales (excepto viveros) - Producidas al aire libre"
"675";"CLAVEL DEL POETA";"NO";"SOC_CLND046";"Flores y plantas ornamentales (excepto viveros) - Producidas al aire libre"
"676";"ADENANTHOS";"NO";"SOC_CLND046";"Flores y plantas ornamentales (excepto viveros) - Producidas al aire libre"
"677";"AGAPANTHUS";"NO";"SOC_CLND046";"Flores y plantas ornamentales (excepto viveros) - Producidas al aire libre"
"678";"ALOCASIA";"NO";"SOC_CLND046";"Flores y plantas ornamentales (excepto viveros) - Producidas al aire libre"
"679";"ALOE";"NO";"SOC_CLND046";"Flores y plantas ornamentales (excepto viveros) - Producidas al aire libre"
"680";"ALTHERNANTERA";"NO";"SOC_CLND046";"Flores y plantas ornamentales (excepto viveros) - Producidas al aire libre"
"681";"ALYOGYNE";"NO";"SOC_CLND046";"Flores y plantas ornamentales (excepto viveros) - Producidas al aire libre"
"682";"ALYSSUM";"NO";"SOC_CLND046";"Flores y plantas ornamentales (excepto viveros) - Producidas al aire libre"
"683";"ANIGOZANTHOS";"NO";"SOC_CLND046";"Flores y plantas ornamentales (excepto viveros) - Producidas al aire libre"
"684";"AQUILEGIA";"NO";"SOC_CLND046";"Flores y plantas ornamentales (excepto viveros) - Producidas al aire libre"
"685";"ARAUCARIA";"NO";"SOC_CLND046";"Flores y plantas ornamentales (excepto viveros) - Producidas al aire libre"
"686";"ARCTOTIS";"NO";"SOC_CLND046";"Flores y plantas ornamentales (excepto viveros) - Producidas al aire libre"
