"Código SIEX";"Código asociación (NIF)";"Razón social";"Provincia";"Comunidad Autónoma";Fecha de alta;Fecha de modificación;Fecha de baja
"56";"F02004125";"Nuestra Señora de las Cubas S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"57";"F02004141";"Ontalba S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"58";"F02004190";"Virgen de las Nieves S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"59";"F02004224";"Ntra. Sra. De la Encarnación S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"60";"F02004232";"La Alcalense S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"61";"F02004257";"San Antonio Abad S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"62";"F02004281";"Agraria San Antonio Abad S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"63";"F02004414";"Santa Cruz de Alpera S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"64";"F02004422";"Cereal Vinícola de la Encarnación S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"65";"F02004455";"La Remediadora S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"66";"F02004497";"Virgen del Rosario S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"67";"F02004505";"San Isidro S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"68";"F02004521";"Campo Santiago Apostol S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"69";"F02004604";"La Manchega S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"70";"F02004752";"Cooperativa Oleícola Santa Agueda y Nuestra Señora de Cortes S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"71";"F02004786";"Vitivinos Anunciación S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"72";"F02005080";"San Jorge S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"73";"F02006062";"San Juan Bautista S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"74";"F02009629";"Champinter S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"75";"F02021053";"Agraria San Antón 84 S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"76";"F02022143";"Villora S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"77";"F02023976";"Secadema S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"78";"F02042398";"Destilerías Manchegas S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"79";"F02065878";"Coaba S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"80";"F02066173";"Aguas Hondo de las Nogueras S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"81";"F02070191";"Frigohortofruticola Caudetana, Sdad Coop.";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"82";"F02109197";"Sociedad Cooperativa de Castilla La Mancha Serpea";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"83";"F02111805";"Almazara Comarcal Sierra de Alcaraz S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
