"Código SIEX";"Código asociación (NIF)";"Razón social";"Provincia";"Comunidad Autónoma";Fecha de alta;Fecha de modificación;Fecha de baja
"499";"F10023208";"COOP. SAN JOSÉ ";"Cáceres";"EXTREMADURA";26/12/2023;;
"500";"F10023497";"COOP. DEL CAMPO SANTA LUCIA ";"Cáceres";"EXTREMADURA";26/12/2023;;
"501";"F10023505";"SDAD. COOP. LTDA. NTRA. SRA. DEL VISO";"Cáceres";"EXTREMADURA";26/12/2023;;
"502";"F10023513";"COOP. DEL CAMPO SAN ROQUE";"Cáceres";"EXTREMADURA";26/12/2023;;
"503";"F10023521";"SANTA CATALINA, SDAD. COOP.";"Cáceres";"EXTREMADURA";26/12/2023;;
"504";"F10023539";"COOP. DEL CAMPO SAN MIGUEL";"Cáceres";"EXTREMADURA";26/12/2023;;
"505";"F10023547";"COOP. SANTÍSIMO CRISTO DEL AMPARO ";"Cáceres";"EXTREMADURA";26/12/2023;;
"506";"F10023570";"COOP. DEL CAMPO SAN MARCO";"Cáceres";"EXTREMADURA";26/12/2023;;
"507";"F10023620";"COOLOSAR, S.C.A.";"Cáceres";"EXTREMADURA";26/12/2023;;
"508";"F10025815";"COOP. SAN BLAS ";"Cáceres";"EXTREMADURA";26/12/2023;;
"509";"F10026128";"AGRUPACIÓN COOP. VALLE DEL JERTE";"Cáceres";"EXTREMADURA";26/12/2023;;
"510";"F10026482";"COOP. LA ALAMEDA";"Cáceres";"EXTREMADURA";26/12/2023;;
"511";"F10026508";"SDAD. COOP. SAN ANDRES ";"Cáceres";"EXTREMADURA";26/12/2023;;
"512";"F10026706";"COOP. SAN ISIDRO DE ALCUESCAR";"Cáceres";"EXTREMADURA";26/12/2023;;
"513";"F10026896";"COOP. SAN MARCOS ";"Cáceres";"EXTREMADURA";26/12/2023;;
"514";"F10027035";"SDAD. COOP. UNIÓN OLIVARERA ";"Cáceres";"EXTREMADURA";26/12/2023;;
"515";"F10027100";"COOP. DEL CAMPO SAN ROQUE ";"Cáceres";"EXTREMADURA";26/12/2023;;
"516";"F10027423";"ACOREX S.C.L.";"Badajoz";"EXTREMADURA";26/12/2023;;
"517";"F10027852";"COOP. LA TORREÑA";"Cáceres";"EXTREMADURA";26/12/2023;;
"518";"F10027878";"COOP. SAN ISIDRO ";"Cáceres";"EXTREMADURA";26/12/2023;;
"519";"F10027886";"COOP. SAN UBALDO";"Cáceres";"EXTREMADURA";26/12/2023;;
"520";"F10028041";"SDAD. COOP. DEL CAMPO HERVAS ";"Cáceres";"EXTREMADURA";26/12/2023;;
"521";"F10028058";"COOP. SAN PABLO APOSTOL";"Cáceres";"EXTREMADURA";26/12/2023;;
"522";"F10028108";"COOP. DEL CAMPO SANTIAGO";"Cáceres";"EXTREMADURA";26/12/2023;;
"523";"F10028595";"COOP. NTRA. SRA. DE LOS HITOS";"Cáceres";"EXTREMADURA";26/12/2023;;
"524";"F10028629";"SDAD. COOP. SAN SALVADOR";"Cáceres";"EXTREMADURA";26/12/2023;;
"525";"F10028827";"SDAD. COOP. CRISTU BENDITU";"Cáceres";"EXTREMADURA";26/12/2023;;
"526";"F10028876";"COOP. SAN SEBASTIAN DE ARROYOMOLINO";"Cáceres";"EXTREMADURA";26/12/2023;;
"527";"F10029395";"COOP. DEL CAMPO SAN PEDRO DE ALCANTARA ";"Cáceres";"EXTREMADURA";26/12/2023;;
"528";"F10029452";"COOP. NTRA. SRA. DE LA CONSOLACIÓN ";"Cáceres";"EXTREMADURA";26/12/2023;;
"529";"F10030088";"COOP. SAN SEBASTIAN";"Cáceres";"EXTREMADURA";26/12/2023;;
"530";"F10031839";"SDAD. COOP. ALMAZARA ";"Cáceres";"EXTREMADURA";26/12/2023;;
"531";"F10032308";"SDAD. COOP. LA SANTA CRUZ ";"Cáceres";"EXTREMADURA";26/12/2023;;
"532";"F10032423";"SDAD. COOP. SAN JUÁN BAUTISTA ";"Cáceres";"EXTREMADURA";26/12/2023;;
"533";"F10032456";"COOP. REGADHIGOS";"Cáceres";"EXTREMADURA";26/12/2023;;
"534";"F10032662";"COOP.  ACEITUNERA SAN PEDRO DE ALCANTARA ";"Cáceres";"EXTREMADURA";26/12/2023;;
"535";"F10032944";"COOP. OLIVARERA VIRGEN DEL ENCINAR ";"Cáceres";"EXTREMADURA";26/12/2023;;
"536";"F10032951";"COOP. SANTO DOMINGO GUZMAN ";"Cáceres";"EXTREMADURA";26/12/2023;;
"537";"F10033306";"SDAD. COOP. GUALTAMINOS";"Cáceres";"EXTREMADURA";26/12/2023;;
"538";"F10033322";"COOP. AGRICOLA SAN PABLO";"Cáceres";"EXTREMADURA";26/12/2023;;
"539";"F10033462";"COOP. DEL CAMPO Y CAJA RURAL DEL SANTÍSIMO CRISTO DE LA VICTORIA ";"Cáceres";"EXTREMADURA";26/12/2023;;
"540";"F10033512";"COOP. SANTIAGO APOSTOL ";"Cáceres";"EXTREMADURA";26/12/2023;;
"541";"F10037463";"COOP Y CAJA RURAL SAN MATEOS ";"Cáceres";"EXTREMADURA";26/12/2023;;
"542";"F10040285";"COOP. DEL CAMPO GABRIEL Y GALAN ";"Cáceres";"EXTREMADURA";26/12/2023;;
"543";"F10040442";"COOP. NTRA. SRA. DE GUADALUPE";"Cáceres";"EXTREMADURA";26/12/2023;;
"544";"F10044238";"SDAD. COOP. SANTA CATALINA ";"Cáceres";"EXTREMADURA";26/12/2023;;
"545";"F10050359";"TABACO DE CACERES SDAD. COOP";"Cáceres";"EXTREMADURA";26/12/2023;;
"546";"F10055200";"COOP. AGRARIA DE NAVACONCEJO (COADENA)";"Cáceres";"EXTREMADURA";26/12/2023;;
"547";"F10055408";"COOP. LOS HUERTOS";"Cáceres";"EXTREMADURA";26/12/2023;;
"548";"F10055416";"COOP. EL BEREZAL";"Cáceres";"EXTREMADURA";26/12/2023;;
"549";"F10055424";"COOP. TIETAR ";"Cáceres";"EXTREMADURA";26/12/2023;;
"550";"F10055432";"COOP. VERA ALTA ";"Cáceres";"EXTREMADURA";26/12/2023;;
"551";"F10055440";"COOP. ROSALEJO";"Cáceres";"EXTREMADURA";26/12/2023;;
"552";"F10057016";"COOP. LOCAL DEL CAMPO NTRA. SRA. DEL CAMPO";"Cáceres";"EXTREMADURA";26/12/2023;;
"553";"F10065183";"SDAD. COOP. TABAQUERA LA UNIÓN";"Cáceres";"EXTREMADURA";26/12/2023;;
"554";"F10109296";"COTABACO";"Cáceres";"EXTREMADURA";26/12/2023;;
"555";"F10109361";"COOP. TABACOEX";"Cáceres";"EXTREMADURA";26/12/2023;;
"556";"F10140713";"COOP. CUATRO LUGARES";"Cáceres";"EXTREMADURA";26/12/2023;;
"557";"F10141653";"SOC. COOP. APIHURDES";"Cáceres";"EXTREMADURA";26/12/2023;;
"558";"F10149441";"COOP. UNEXTA ";"Cáceres";"EXTREMADURA";26/12/2023;;
"559";"F10155612";"COOP. LA JARA DEL ROMERAL ";"Cáceres";"EXTREMADURA";26/12/2023;;
"560";"F10162006";"SDAD. COOP. MOCARVA ";"Cáceres";"EXTREMADURA";26/12/2023;;
"561";"F10162964";"COOP. SAN JUAN  DE ALONSO DE OJEDA";"Cáceres";"EXTREMADURA";26/12/2023;;
"562";"F10171098";"COOP. UNION AGRICULTORES RIOLOBOS S.C.L.";"Cáceres";"EXTREMADURA";26/12/2023;;
"563";"F10180453";"SIERRA MIEL SDAD. COOP.";"Cáceres";"EXTREMADURA";26/12/2023;;
"564";"F10189751";"UCONOR";"Cáceres";"EXTREMADURA";26/12/2023;;
"565";"F10229599";"SDAD. COOP APROCEX";"Cáceres";"EXTREMADURA";26/12/2023;;
"566";"F10232619";"IBERTABACO, SDAD. COOP.";"Cáceres";"EXTREMADURA";26/12/2023;;
"567";"F10235133";"COOP. VIRGEN DEL TESO ";"Cáceres";"EXTREMADURA";26/12/2023;;
"568";"F10235554";"ACEITUNERA GRANADILLA SDAD COOP";"Cáceres";"EXTREMADURA";26/12/2023;;
"569";"F10235953";"SAT VERAFRU Nº 9940";"Cáceres";"EXTREMADURA";26/12/2023;;
"570";"F10251569";"COOP. HORTICOEX";"Cáceres";"EXTREMADURA";26/12/2023;;
"571";"F10258168";"COOP. AGROACE";"Cáceres";"EXTREMADURA";26/12/2023;;
"572";"F10259596";"COOP. COPRETAL ";"Cáceres";"EXTREMADURA";26/12/2023;;
"573";"F10262319";"IBERTABACO SDAD. COOP.";"Cáceres";"EXTREMADURA";26/12/2023;;
"574";"F10262442";"COOP. UNIÓN DE GANADEROS DE LAS TORRES";"Cáceres";"EXTREMADURA";26/12/2023;;
"575";"F10270247";"SDAD. COOP. GANADEROS DE CÁPARRA ";"Cáceres";"EXTREMADURA";26/12/2023;;
"576";"F10279552";"COOP. TORNAVALLE";"Cáceres";"EXTREMADURA";26/12/2023;;
"577";"F10319101";"SAN MARCOS DE MIAJADAS, SDAD. COOP. LTDA";"Cáceres";"EXTREMADURA";26/12/2023;;
"578";"F10368272";"COOP. RIO ALMONTE ";"Cáceres";"EXTREMADURA";26/12/2023;;
"579";"F10405058";"COOP. ALTO DE RUECAS ";"Cáceres";"EXTREMADURA";26/12/2023;;
"580";"F10436723";"BOBINO DE ESPAÑA. SDAD. COOP.";"Cáceres";"EXTREMADURA";26/12/2023;;
"581";"F11004694";"SCA EL AGRO";"Cádiz";"ANDALUCÍA";26/12/2023;;
"582";"F11004702";"SCA FRUSANA";"Cádiz";"ANDALUCÍA";26/12/2023;;
"583";"F11004744";"SCA VIRGEN DE LA CARIDAD";"Cádiz";"ANDALUCÍA";26/12/2023;;
"584";"F11004751";"SCA VIRGEN DEL ROCÍO";"Cádiz";"ANDALUCÍA";26/12/2023;;
"585";"F11004884";"COOPERATIVA AGRICOLA VIRGEN DE PALOMARES, S.C.A.";"Cádiz";"ANDALUCÍA";26/12/2023;;
"586";"F11006533";"SCA VITIVINÍCOLA SANLUQUEÑA (COVISÁN)";"Cádiz";"ANDALUCÍA";26/12/2023;;
"587";"F11010139";"SCA DIVINO SALVADOR";"Cádiz";"ANDALUCÍA";26/12/2023;;
"588";"F11012713";"SCA CAMPO DE SAN MARTÍN  DEL TESORILLO";"Cádiz";"ANDALUCÍA";26/12/2023;;
"589";"F11013653";"SCA NTRA. SRA. DEL ROSARIO";"Cádiz";"ANDALUCÍA";26/12/2023;;
"590";"F11014172";"SCA VITIVINÍCOLA ALBARIZAS";"Cádiz";"ANDALUCÍA";26/12/2023;;
"591";"F11017936";"SCA CAMPO GUADIARO";"Cádiz";"ANDALUCÍA";26/12/2023;;
"592";"F11035201";"SCA SOLIDARIDAD DE CABREROS";"Cádiz";"ANDALUCÍA";26/12/2023;;
"593";"F11050523";"COOP. AGRÍCOLA SAN PATRICIO DE CONIL SCA";"Cádiz";"ANDALUCÍA";26/12/2023;;
"594";"F11055563";"SCA AGRÍCOLA EUROPEOS";"Cádiz";"ANDALUCÍA";26/12/2023;;
"595";"F11203593";"SCA SANCHIFLOR";"Cádiz";"ANDALUCÍA";26/12/2023;;
"596";"F11284437";"SCA UNIÓN DE VITICULTORES CHICLANEROS";"Cádiz";"ANDALUCÍA";26/12/2023;;
"597";"F11367539";"SCA REMOLACHEROS DEL SUR";"Cádiz";"ANDALUCÍA";26/12/2023;;
"598";"F11479391";"SCA CAMPO DE ROTA";"Cádiz";"ANDALUCÍA";26/12/2023;;
"599";"F11603990";"SCA AGRÍCOLA ARCENSE";"Cádiz";"ANDALUCÍA";26/12/2023;;
"600";"F11604279";"SCA NTRA. SRA. DE LAS ANGUSTIAS";"Cádiz";"ANDALUCÍA";26/12/2023;;
"601";"F11604907";"S.C.A. LA SEMBRADORA EL TORNO";"Cádiz";"ANDALUCÍA";26/12/2023;;
"602";"F11604931";"SCA LA FLORIDA";"Cádiz";"ANDALUCÍA";26/12/2023;;
"603";"F11608668";"SCA VIRGEN DEL VALLE";"Cádiz";"ANDALUCÍA";26/12/2023;;
"604";"F11610144";"SCA AGRÍCOLA GANADERA SAN DIONISIO";"Cádiz";"ANDALUCÍA";26/12/2023;;
"605";"F11610680";"SCA ALCALDE NIÑO";"Cádiz";"ANDALUCÍA";26/12/2023;;
"606";"F11611035";"SCA DEL CAMPO DE VILLAMARTÍN";"Cádiz";"ANDALUCÍA";26/12/2023;;
"607";"F11612918";"SCA. SAN ISIDRO DEL GUADALETE";"Cádiz";"ANDALUCÍA";26/12/2023;;
"608";"F11927225";"SCA ALBA GANADEROS";"Granada";"ANDALUCÍA";26/12/2023;;
"609";"F12008892";"Coop.V. Agrícola de Betxí";"Castellón/Castelló";"COMUNIDAD VALENCIANA";26/12/2023;;
"610";"F12008900";"Coop. Agr. Benasalense, Coop.V.";"Castellón/Castelló";"COMUNIDAD VALENCIANA";26/12/2023;;
"611";"F12008934";"Coop. Católico Agraria Coop.V.";"Castellón/Castelló";"COMUNIDAD VALENCIANA";26/12/2023;;
"612";"F12009023";"Coop. Agr. Divina Pastora Coop.V.";"Castellón/Castelló";"COMUNIDAD VALENCIANA";26/12/2023;;
"613";"F12009049";"Coop. Agr. El Porvenir Coop.V.";"Castellón/Castelló";"COMUNIDAD VALENCIANA";26/12/2023;;
"614";"F12009056";"Coop. Agrícola El Progreso de Traiguera, Coop.V.";"Castellón/Castelló";"COMUNIDAD VALENCIANA";26/12/2023;;
"615";"F12009114";"RURALMONCOFA, COOP.V.";"Castellón/Castelló";"COMUNIDAD VALENCIANA";26/12/2023;;
"616";"F12009130";"Coop. Agr. La Unión Coop.V.";"Castellón/Castelló";"COMUNIDAD VALENCIANA";26/12/2023;;
"617";"F12009148";"Coop. Agr. La Unión de Calig Coop.V.";"Castellón/Castelló";"COMUNIDAD VALENCIANA";26/12/2023;;
"618";"F12009163";"Coop. Agr. Nª Sª del Buen Suceso de Cabanes, Coop.V.";"Castellón/Castelló";"COMUNIDAD VALENCIANA";26/12/2023;;
"619";"F12009197";"Coop. Ag. Nª Sra. Esperanza Coop.V.";"Castellón/Castelló";"COMUNIDAD VALENCIANA";26/12/2023;;
"620";"F12009213";"Coop. Agraria Sagrado Corazón De Jesús Coop.V.";"Castellón/Castelló";"COMUNIDAD VALENCIANA";26/12/2023;;
"621";"F12009239";"Coop. Agrícola San Antonio de Benicassim Coop.V.";"Castellón/Castelló";"COMUNIDAD VALENCIANA";26/12/2023;;
"622";"F12009254";"Coop. Agr. San Bartolomé, Coop.V.";"Castellón/Castelló";"COMUNIDAD VALENCIANA";26/12/2023;;
"623";"F12009262";"Coop. Ag. San Bartolomé de Adzaneta-Tossals de Penyagolossa";"Castellón/Castelló";"COMUNIDAD VALENCIANA";26/12/2023;;
"624";"F12009270";"Coop. Agrícola San Bartolomé de Torre Embesora Coop.V.";"Castellón/Castelló";"COMUNIDAD VALENCIANA";26/12/2023;;
"625";"F12009288";"Coop. Ag. Sant Bertomeu de Vilanova d'Alcolea, Coop.V.";"Castellón/Castelló";"COMUNIDAD VALENCIANA";26/12/2023;;
"626";"F12009338";"Coop. Agr. ""San Felipe Neri"" Useras";"Castellón/Castelló";"COMUNIDAD VALENCIANA";26/12/2023;;
"627";"F12009346";"Coop. Agr. San Isidro de Alcalá, Coop.V.";"Castellón/Castelló";"COMUNIDAD VALENCIANA";26/12/2023;;
"628";"F12009353";"Coop. Agr. San Isidro de Benicarló S.Coop.V.";"Castellón/Castelló";"COMUNIDAD VALENCIANA";26/12/2023;;
"629";"F12009361";"Coop. Agr. San Isidro de Canet Lo Roig, Coop.V.";"Castellón/Castelló";"COMUNIDAD VALENCIANA";26/12/2023;;
"630";"F12009379";"Coop. Agrícola San Isidro Castellón, Coop.V.";"Castellón/Castelló";"COMUNIDAD VALENCIANA";26/12/2023;;
"631";"F12009403";"Coop. A. San Isidro de Cervera del Maestre, Coop.V.";"Castellón/Castelló";"COMUNIDAD VALENCIANA";26/12/2023;;
"632";"F12009411";"Coop. Agro-Alimentaria Sant Isidre de Les Coves de Vinromà, S.Coop.";"Castellón/Castelló";"COMUNIDAD VALENCIANA";26/12/2023;;
"633";"F12009452";"Coop. Ag. San Isidro de Olocau del Rey Coop.V.";"Castellón/Castelló";"COMUNIDAD VALENCIANA";26/12/2023;;
"634";"F12009478";"Coop. Ag. San Isidro de San Jorge Coop.V.";"Castellón/Castelló";"COMUNIDAD VALENCIANA";26/12/2023;;
"635";"F12009486";"Coop. Agrícola San Isidro de Sant Mateu Coop.V.";"Castellón/Castelló";"COMUNIDAD VALENCIANA";26/12/2023;;
"636";"F12009502";"Coop. Ag. San Isidro de Tirig";"Castellón/Castelló";"COMUNIDAD VALENCIANA";26/12/2023;;
"637";"F12009510";"Coop. Agraria San Isidro Coop.V.";"Castellón/Castelló";"COMUNIDAD VALENCIANA";26/12/2023;;
"638";"F12009528";"Cooperativa Agraria San Isidro de Vall d'Alba, Coop.V.";"Castellón/Castelló";"COMUNIDAD VALENCIANA";26/12/2023;;
"639";"F12009536";"Coop. Ag. San Isidro de Vilafamés Coop.V.";"Castellón/Castelló";"COMUNIDAD VALENCIANA";26/12/2023;;
"640";"F12009544";"Coop. Ag. San Isidro de Vall d'Uixó Coop.V.";"Castellón/Castelló";"COMUNIDAD VALENCIANA";26/12/2023;;
"641";"F12009585";"Coop. Agrícola San Jaime de Alquerias Niño Perdido, S. Coop. V.";"Castellón/Castelló";"COMUNIDAD VALENCIANA";26/12/2023;;
"642";"F12009593";"Coop. Ag. San Jose de Artana Coop.V.";"Castellón/Castelló";"COMUNIDAD VALENCIANA";26/12/2023;;
"643";"F12009601";"Coop. Agr. San José de Almassora, Coop.V.";"Castellón/Castelló";"COMUNIDAD VALENCIANA";26/12/2023;;
"644";"F12009619";"Coop. Agrícola San José de Alcora Coop.V.";"Castellón/Castelló";"COMUNIDAD VALENCIANA";26/12/2023;;
"645";"F12009635";"Coop. Agr. San Jose de Burriana, Coop.V.";"Castellón/Castelló";"COMUNIDAD VALENCIANA";26/12/2023;;
"646";"F12009650";"Coop. Agricola San Jose dels Ibarsos Coop.V.";"Castellón/Castelló";"COMUNIDAD VALENCIANA";26/12/2023;;
"647";"F12009668";"Cooperativa Agrícola San Jose de Nules Coop.V.";"Castellón/Castelló";"COMUNIDAD VALENCIANA";26/12/2023;;
"648";"F12009726";"Coop. Ag. San Jose de Vilavella Coop.V.";"Castellón/Castelló";"COMUNIDAD VALENCIANA";26/12/2023;;
"649";"F12009734";"Coop. Agrícola San Juan Bautista de San Juan de Moró, Coop.V. ";"Castellón/Castelló";"COMUNIDAD VALENCIANA";26/12/2023;;
"650";"F12009783";"Coop. Ag. San Mateo Coop.V.";"Castellón/Castelló";"COMUNIDAD VALENCIANA";26/12/2023;;
"651";"F12009809";"Coop. del Camp Sant Miquel Coop.V. ";"Castellón/Castelló";"COMUNIDAD VALENCIANA";26/12/2023;;
"652";"F12009866";"Coop. Agr. San Roque de Almenara";"Castellón/Castelló";"COMUNIDAD VALENCIANA";26/12/2023;;
"653";"F12010195";"Intercoop Comercial Agropecuaria, Coop.V.";"Castellón/Castelló";"COMUNIDAD VALENCIANA";26/12/2023;;
"654";"F12010245";"Coop. Ag. Nª Sra. Asunción Coop.V.";"Castellón/Castelló";"COMUNIDAD VALENCIANA";26/12/2023;;
"655";"F12010252";"Coop. Ag. ""El Salvador"" Coop.V.";"Castellón/Castelló";"COMUNIDAD VALENCIANA";26/12/2023;;
"656";"F12010401";"Coop. Ag. San Isidro de Teresa Coop.V.";"Castellón/Castelló";"COMUNIDAD VALENCIANA";26/12/2023;;
"657";"F12010450";"COCALNI Coop.V.";"Castellón/Castelló";"COMUNIDAD VALENCIANA";26/12/2023;;
"658";"F12010500";"Coop. Agricola Sant Marc de Xert, Coop.V. ";"Castellón/Castelló";"COMUNIDAD VALENCIANA";26/12/2023;;
"659";"F12010658";"Sociedad Exportación Agrios Nº2 Moncofa Coop.V.";"Castellón/Castelló";"COMUNIDAD VALENCIANA";26/12/2023;;
"660";"F12011052";"Exportadora d'Agris d'Alcanar, SCCL";"Tarragona";"CATALUÑA";26/12/2023;;
"661";"F12011342";"Coop. Social Ganadera ""COSGA"", Coop. V.";"Castellón/Castelló";"COMUNIDAD VALENCIANA";26/12/2023;;
"662";"F12012860";"Coop. Ag. San Isidro de Santa Magdalena de Pulpis Coop.V.";"Castellón/Castelló";"COMUNIDAD VALENCIANA";26/12/2023;;
"663";"F12012985";"Coop. Ag. San Isidro Labrador de Lucena del Cid Coop.V.";"Castellón/Castelló";"COMUNIDAD VALENCIANA";26/12/2023;;
"664";"F12013074";"Cooperativa Frutícola de Betxí, Coop.V.";"Castellón/Castelló";"COMUNIDAD VALENCIANA";26/12/2023;;
"665";"F12013892";"Coop. Ag. San Vicente Ferrer Coop.V.";"Castellón/Castelló";"COMUNIDAD VALENCIANA";26/12/2023;;
"666";"F12015079";"S.A.T. 3054 San Bartolomé de Borriol";"Castellón/Castelló";"COMUNIDAD VALENCIANA";26/12/2023;;
"667";"F12016051";"VALLFRUT COOP.V.";"Castellón/Castelló";"COMUNIDAD VALENCIANA";26/12/2023;;
"668";"F12017596";"Cooperativa V. Ltda. Riegos Pla de Pinar";"Castellón/Castelló";"COMUNIDAD VALENCIANA";26/12/2023;;
"669";"F12027413";"CITRIAS, S.C.L. ";"Castellón/Castelló";"COMUNIDAD VALENCIANA";26/12/2023;;
"670";"F12031696";"Coop. de Riegos de Vall d'Uxó Coop.V.";"Castellón/Castelló";"COMUNIDAD VALENCIANA";26/12/2023;;
"671";"F12032736";"NULEXPORT COOP.V.";"Castellón/Castelló";"COMUNIDAD VALENCIANA";26/12/2023;;
"672";"F12038493";"Sdad. Cooperativa Obrera Rosellense";"Castellón/Castelló";"COMUNIDAD VALENCIANA";26/12/2023;;
"673";"F12064820";"Almazara Sierra Espadán, Coop.V.";"Castellón/Castelló";"COMUNIDAD VALENCIANA";26/12/2023;;
"674";"F12065496";"SAT 985 San Isidro Labrador de Azuebar";"Castellón/Castelló";"COMUNIDAD VALENCIANA";26/12/2023;;
"675";"F12079082";"Cooperativa Agrícola Castellnovo S.Coop.V";"Castellón/Castelló";"COMUNIDAD VALENCIANA";26/12/2023;;
"676";"F12082079";"Cooperativa Agrícola Castellnovo S.Coop.V";"Castellón/Castelló";"COMUNIDAD VALENCIANA";26/12/2023;;
"677";"F12236634";"Coop. Oleícola Serrana del Palancia, Coop. V";"Castellón/Castelló";"COMUNIDAD VALENCIANA";26/12/2023;;
"678";"F12240149";"Coop. Oleícola Alto Palancia Coop.V.";"Castellón/Castelló";"COMUNIDAD VALENCIANA";26/12/2023;;
"679";"F12289674";"Coop. Agr. Sant Pau d'Albocasser, Coop.V.";"Castellón/Castelló";"COMUNIDAD VALENCIANA";26/12/2023;;
"680";"F12351193";"ARTAN FRUT, Coop.V.";"Castellón/Castelló";"COMUNIDAD VALENCIANA";26/12/2023;;
"681";"F12354189";"SAT 9425 ""LA COSA""";"Castellón/Castelló";"COMUNIDAD VALENCIANA";26/12/2023;;
"682";"F12403291";"Almazara Olivarera Cervol S.Coop.V. 2º Grado";"Castellón/Castelló";"COMUNIDAD VALENCIANA";26/12/2023;;
"683";"F12438578";"AGROAL, Coop.V.";"Castellón/Castelló";"COMUNIDAD VALENCIANA";26/12/2023;;
"684";"F12445839";"Intercoop Consultoría, Coop.V.";"Castellón/Castelló";"COMUNIDAD VALENCIANA";26/12/2023;;
"685";"F12454187";"EUROCOCI, COOP.V.";"Castellón/Castelló";"COMUNIDAD VALENCIANA";26/12/2023;;
"686";"F12487187";"Envasadora oleicola Sierra Espadan, Coop.V.";"Castellón/Castelló";"COMUNIDAD VALENCIANA";26/12/2023;;
"687";"F12511135";"Real Export, Coop.V.";"Castellón/Castelló";"COMUNIDAD VALENCIANA";26/12/2023;;
"688";"F12535266";"Coop. Agrícola Les Alboredes de La Jana, Coop.V.";"Castellón/Castelló";"COMUNIDAD VALENCIANA";26/12/2023;;
"689";"F12550893";"Coop. Agraria Montan, Coop.V.";"Castellón/Castelló";"COMUNIDAD VALENCIANA";26/12/2023;;
"690";"F12570875";"Cooperativa de La Punta";"Castellón/Castelló";"COMUNIDAD VALENCIANA";26/12/2023;;
"691";"F12654596";"San Alfonso, Coop.V.";"Castellón/Castelló";"COMUNIDAD VALENCIANA";26/12/2023;;
"692";"F12707964";"Oleícola del Penyagolosa, Coop.V.";"Castellón/Castelló";"COMUNIDAD VALENCIANA";26/12/2023;;
"693";"F13002498";"San Lorenzo S. Coop de CLM";"Ciudad Real";"CASTILLA-LA MANCHA";26/12/2023;;
"694";"F13002522";"La Unión S. Coop de CLM";"Ciudad Real";"CASTILLA-LA MANCHA";26/12/2023;;
"695";"F13002571";"Ntra Señora del Rosario Sdad CLM";"Ciudad Real";"CASTILLA-LA MANCHA";26/12/2023;;
"696";"F13002605";"Nuestra Señora de las Nieves S. Coop de CLM";"Ciudad Real";"CASTILLA-LA MANCHA";26/12/2023;;
"697";"F13002639";"San Gregorio S. Coop de CLM";"Ciudad Real";"CASTILLA-LA MANCHA";26/12/2023;;
"698";"F13002654";"Virgen del Carmen S. Coop de CLM";"Ciudad Real";"CASTILLA-LA MANCHA";26/12/2023;;
"699";"F13002670";"San Bernabé Apostol S. Coop de CLM";"Ciudad Real";"CASTILLA-LA MANCHA";26/12/2023;;
"700";"F13002688";"Nuestra Señora de Peñarroya S. Coop de CLM";"Ciudad Real";"CASTILLA-LA MANCHA";26/12/2023;;
"701";"F13002704";"Cristo de Orense S. Coop de CLM";"Ciudad Real";"CASTILLA-LA MANCHA";26/12/2023;;
"702";"F13002746";"Bodegas Simbolo Sdad Coop de CLM Ntra Sra de Criptana";"Ciudad Real";"CASTILLA-LA MANCHA";26/12/2023;;
"703";"F13002753";"Vinícola del Carmen S. Coop de CLM";"Ciudad Real";"CASTILLA-LA MANCHA";26/12/2023;;
"704";"F13002795";"San José S. Coop de CLM";"Ciudad Real";"CASTILLA-LA MANCHA";26/12/2023;;
"705";"F13002803";"Santísimo Cristo de la Misericordia S. Coop de CLM";"Ciudad Real";"CASTILLA-LA MANCHA";26/12/2023;;
"706";"F13002811";"Nuestra Señora del Pilar S. Coop de CLM";"Ciudad Real";"CASTILLA-LA MANCHA";26/12/2023;;
"707";"F13002852";"San Isidro Labrador de Ciudad Real S. Coop de CLM";"Ciudad Real";"CASTILLA-LA MANCHA";26/12/2023;;
"708";"F13002944";"Nuestra Señora de los Baños S. Coop de CLM";"Ciudad Real";"CASTILLA-LA MANCHA";26/12/2023;;
"709";"F13002951";"Nuestra Señora de la Fe S. Coop de CLM";"Ciudad Real";"CASTILLA-LA MANCHA";26/12/2023;;
"710";"F13002969";"El Santo Cristo S. Coop de CLM";"Ciudad Real";"CASTILLA-LA MANCHA";26/12/2023;;
"711";"F13002977";"Nuestra Señora de la Encarnación S. Coop de CLM";"Ciudad Real";"CASTILLA-LA MANCHA";26/12/2023;;
"712";"F13003025";"San Isidro Labrador S. Coop de CLM";"Ciudad Real";"CASTILLA-LA MANCHA";26/12/2023;;
"713";"F13003033";"Santísimo Cristo del Espíritu Santo S. Coop de CLM";"Ciudad Real";"CASTILLA-LA MANCHA";26/12/2023;;
"714";"F13003066";"Jesús Del Perdón Bodegas Yuntero S. Coop de CLM";"Ciudad Real";"CASTILLA-LA MANCHA";26/12/2023;;
"715";"F13003116";"Tierra de Calatrava de Miguelturra S. Coop de CLM";"Ciudad Real";"CASTILLA-LA MANCHA";26/12/2023;;
"716";"F13003132";"Bodegas San Isidro de Pedro Muñoz S. Coop de CLM";"Ciudad Real";"CASTILLA-LA MANCHA";26/12/2023;;
"717";"F13003140";"Santo Cristo de la Antigua S. Coop de CLM";"Ciudad Real";"CASTILLA-LA MANCHA";26/12/2023;;
"718";"F13003157";"Nuestra Señora de los Santos S. Coop de CLM";"Ciudad Real";"CASTILLA-LA MANCHA";26/12/2023;;
